jurisdiccion_id,jurisdiccion,cant_normas,cant_partidas,total_reduccion,total_aumento,neto
50,Ministerio de Economía,12,41702562,1.7490862692491043e+17,1.190343733765188e+18,1.0154351068402778e+18
88,Ministerio de Capital Humano,10,28388808,4.873850101667442e+16,1.711385882032129e+18,1.6626473810154545e+18
80,Ministerio de Salud,12,7411666,1.836862862393061e+16,1.0009715589610206e+17,8.172852727217146e+16
91,Obligaciones a Cargo del Tesoro,14,154896,1.2261838091139924e+16,2.155887476712891e+16,9297036675988986.0
25,Jefatura de Gabinete de Ministros,11,1192492,9263627097852688.0,3817963471289786.0,-5445663626562901.0
41,Ministerio de Seguridad Nacional,12,8085184,6311969799462656.0,9.16971698428311e+16,8.538520004336845e+16
77,Ministerio de Infraestructura,6,586542,1359785674101714.0,7909808198015840.0,6550022523914126.0
45,Ministerio de Defensa,5,3849850,1273953536054650.0,1.94221811337122e+16,1.814822759765755e+16
90,Servicio de la Deuda Pública,5,2368,259373608775168.0,1417987164760520.0,1158613555985352.0
35,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",6,116700,103728992407775.0,1535886642316425.0,1432157649908650.0
75,"Ministerio de Trabajo, Empleo y Seguridad Social",1,117664,23532800000000.0,235600955402860.0,212068155402860.0
40,Ministerio de Justicia y Derechos Humanos,9,256215,16785714040167.0,415777235067867.0,398991521027700.0
89,Ministerio de Desregulación y Transformación del Estado,5,24510,16127090018880.0,411355714999740.0,395228624980860.0
30,Ministerio del Interior,4,519750,10999035877500.0,745049081972250.0,734050046094750.0
72,Ministerio de Cultura,1,16232,113624000000.0,0.0,-113624000000.0
01,,4,6,185706577.0,3726100000.0,3540393423.0
85,Ministerio de Desarrollo Social,1,25464,0.0,763271532337284.0,763271532337284.0
20,Presidencia de la Nación,1,18862,0.0,40694765000000.0,40694765000000.0
05,,6,12,0.0,38566517781.0,38566517781.0
