programa_id,programa,inciso_principal,presupuestado_mm,vigente_mm,variacion_mm,var_pct
16,Promocion del Turismo Receptivo Internacional,Transferencias,658846.75,647548.75,-11298.0,-1.7
1,Actividades Centrales,Transferencias,169631.98,160742.6,-8889.38,-5.2
17,Investigacion y Desarrollo de Medios de Acceso al Espacio,Servicios no personales,77169.78,76049.2,-1120.58,-1.5
26,"Planificacion, Formulacion y Ejecucion de Politicas de Conservacion en Areas Naturales Protegidas",Transferencias,59907.65,58426.93,-1480.73,-2.5
18,"Promocion, Investigacion, Financiamiento, Innovacion y Divulgacion en Ciencia y Tecnica",Transferencias,49160.39,50826.95,1666.57,3.4
50,Formulacion y Ejecucion de Politica en Ciencia y Tecnica,Transferencias,31989.1,22918.58,-9070.52,-28.4
44,"Promocion  y  Financiamiento  de  Actividades  de  Ciencia, Tecnologia e Innovacion",Transferencias,29289.0,28431.6,-857.4,-2.9
25,Sistema de Areas Marinas Protegidas,Servicios no personales,23512.11,22872.13,-639.98,-2.7
80,Politica Ambiental en Recursos Naturales,Transferencias,23022.88,22761.44,-261.44,-1.1
24,Infraestructura en Areas Naturales Protegidas,Transferencias,21433.34,17720.78,-3712.56,-17.3
34,Administracion de Bienes del Estado,Servicios no personales,16017.62,15573.21,-444.41,-2.8
14,Actividades Comunes a los programas de Ambiente,Servicios no personales,12771.07,12774.45,3.38,0.0
94,Asistencia Financiera a Empresas Publicas,Transferencias,12552.0,12552.0,0.0,0.0
83,Evaluacion y Control Ambiental,Servicios no personales,11799.38,11077.76,-721.62,-6.1
4,Actividades Comunes a los Programas de Turismo y Ambiente,Servicios no personales,11182.25,12248.75,1066.5,9.5
22,Control y Fiscalizacion de los Servicios de Comunicacion Audiovisual,Servicios no personales,8503.37,9303.37,800.0,9.4
13,Actividades Comunes a los Programas de Turismo,Gastos en personal,7572.2,5776.2,-1796.0,-23.7
56,Desarrollo y Promocion Turistica,Transferencias,7403.2,7234.17,-169.02,-2.3
55,"Estrategia, Coordinacion y Priorizacion de las Politicas Publicas",Servicios no personales,6192.51,11036.71,4844.2,78.2
27,Recuperacion Sustentable de Paisajes y Medios de Vida en Argentina (BIRF N° 9335-AR y PROGREEN Nº TF0B7681),Transferencias,6180.0,5385.0,-795.0,-12.9
20,Desarrollo de Politicas de Vinculacion Tecnologica y Social,Transferencias,3954.09,3904.09,-50.0,-1.3
19,Formacion y Capacitacion,Servicios no personales,3917.62,3793.6,-124.02,-3.2
23,"Enseñanza, Capacitacion y Habilitacion",Servicios no personales,3873.81,4183.81,310.0,8.0
53,Calidad Turistica,Servicios no personales,2999.43,3445.96,446.53,14.9
81,Promocion y Gestion del Impacto Climatico y el Desarrollo Sostenible,Transferencias,2683.34,2496.64,-186.7,-7.0
82,Articulacion y Educacion Ambiental,Servicios no personales,1230.47,586.74,-643.73,-52.3
10,Gestion del  Financiamiento Externo en Ciencia y Gestion Gubernamental,Servicios no personales,1117.05,1032.05,-85.0,-7.6
